"","ticker","filing_date","IG","1-Month","3-Month","6-Month","z_score_positive","z_score_negative","z_score_avg_word_count"
"1","AAPL",2023-08-03,7.7787,0.7607,10.5505,0.5607,-2.5513,-2.8526,-2.5279
"2","AAPL",2023-05-04,3.058,9.2951,18.1498,2.9952,-2.6064,-2.9674,-2.5351
"3","AAPL",2023-02-02,5.5293,0.2921,11.9197,30.6339,-2.5513,-2.6229,-2.5157
"4","AAPL",2022-07-28,6.9392,4.1292,3.0495,10.0474,-2.309,-2.9674,-2.2231
"5","AAPL",2022-04-28,0.2404,8.421,7.2215,8.4103,-2.2209,-3.5414,-2.1438
"6","AAPL",2022-01-27,6.8871,3.6679,1.3945,3.6742,-2.4632,-4.345,-2.4904
"7","AAPL",2021-07-27,0.4311,1.2348,1.4599,10.9837,-1.2955,-2.0489,-1.2733
"8","AAPL",2021-04-28,4.2322,6.0542,11.7256,11.6677,-1.615,-2.0489,-1.4217
"9","AAPL",2021-01-27,2.2419,14.7045,5.0251,4.9097,-1.8353,-2.6229,-1.6646
"10","AAPL",2020-07-30,18.5443,29.985,21.437,49.1056,-1.1964,1.0509,-1.0845
"11","AAPL",2020-04-30,9.3081,8.5094,27.3042,57.3444,-1.3396,2.5433,-1.2171
"12","AAPL",2020-01-28,2.4987,7.6633,10.7175,17.2037,-2.0556,-2.1637,-1.9132
"13","AAPL",2019-07-31,5.5926,1.5189,17.3471,50.4312,-0.9761,2.773,-0.668
"14","AAPL",2019-05-01,2.0757,14.9788,0.0155,18.0268,-0.943,3.1174,-0.6752
"15","AAPL",2019-01-30,13.1627,5.23,24.3494,26.7379,-0.9651,2.0841,-0.6737
"16","ADBE",2023-09-27,5.366,2.3239,19.1305,0.6128,0.5111,-1.3601,0.6371
"17","ADBE",2023-06-28,1.6189,6.5377,6.0465,24.1113,0.3899,-1.4749,0.4951
"18","ADBE",2023-03-29,6.4803,2.0414,26.4664,35.2727,0.3568,-1.3601,0.3777
"19","ADBE",2022-09-28,3.0283,13.2374,20.2736,33.248,0.445,-1.1305,0.5362
"20","ADBE",2022-06-29,3.0548,9.498,24.8413,8.1547,0.3679,-1.5897,0.4548
"21","ADBE",2022-03-30,8.437,10.766,17.1695,38.1472,0.2357,-1.7045,0.3286
"22","ADBE",2021-09-29,9.4844,10.6595,0.0035,25.2865,0.5882,-1.4749,0.8792
"23","ADBE",2021-06-30,3.9479,6.1574,3.0753,2.7355,0.6432,-1.0157,0.8814
"24","ADBE",2021-03-31,8.8215,8.566,23.8614,30.9948,0.5221,-0.9008,0.7329
"25","ADBE",2020-09-23,2.8004,2.8083,5.9525,6.1417,1.5135,1.3953,1.5198
"26","ADBE",2020-06-24,5.277,0.0139,10.1835,16.5099,1.1169,1.1657,1.0385
"27","ADBE",2020-03-25,8.0208,9.6303,43.3886,52.8391,0.456,-0.3268,0.4814
"28","ADBE",2019-09-26,5.1909,4.5206,16.1481,8.2661,0.9076,-1.1305,0.9469
"29","ADBE",2019-06-26,3.4958,6.9306,3.9069,13.4698,0.8966,-1.0157,0.9469
"30","ADBE",2019-03-27,4.4699,5.8398,14.3059,5.935,0.6543,-1.5897,0.7142
"31","AMD",2023-11-01,18.1033,12.1437,64.5964,42.5583,-1.4057,-2.5081,-1.2185
"32","AMD",2023-08-02,2.8522,3.3196,12.0439,62.0942,-1.5489,-2.5081,-1.251
"33","AMD",2023-05-03,10.612,46.3734,40.1617,18.1451,-1.8683,-2.6229,-1.7799
"34","AMD",2022-11-02,6.8977,32.1508,23.5715,52.4305,0.3238,1.6249,-0.2781
"35","AMD",2022-08-03,6.3683,16.0669,38.7705,23.1318,0.2687,-0.0972,-0.17
"36","AMD",2022-05-04,4.4989,9.2235,2.6554,37.6282,-0.3922,-0.9008,-0.8164
"37","AMD",2021-10-27,9.6572,29.0481,4.7023,27.9195,-1.5489,-3.3118,-1.5241
"38","AMD",2021-07-28,25.892,9.5374,24.9464,21.3213,-1.5269,-3.3118,-1.4167
"39","AMD",2021-04-28,3.676,6.6651,9.2835,42.6089,-1.8794,-3.197,-1.8412
"40","AMD",2020-10-28,3.3081,13.4948,23.2068,8.3246,-0.249,1.3953,-0.1571
"41","AMD",2020-07-29,37.6274,10.1327,8.0694,21.9477,-1.7472,-2.6229,-1.5486
"42","AMD",2020-04-29,6.6702,3.5781,28.5315,52.7395,-2.1327,-3.197,-2.1035
"43","AMD",2019-10-30,15.2742,18.9556,48.687,69.5744,-1.9124,-1.4749,-1.8015
"44","AMD",2019-07-31,15.3914,3.2841,10.6404,65.353,-0.5575,5.8727,-0.9188
"45","AMD",2019-05-01,6.3247,4.5505,24.8788,22.0067,-1.1083,3.4618,-1.6286
"46","AMZN",2023-10-26,6.6978,22.7231,30.4842,51.6099,-0.1279,0.9361,0.0375
"47","AMZN",2023-08-03,7.4854,7.1445,3.2426,25.095,-0.3702,0.4768,-0.1426
"48","AMZN",2023-04-27,0.1541,9.3699,17.5833,15.2431,-0.4473,0.1324,-0.4806
"49","AMZN",2022-10-27,20.0694,15.8165,13.1939,4.2808,-0.0618,0.2472,0.0894
"50","AMZN",2022-07-28,11.9474,6.9267,1.3739,20.2486,-0.3261,-0.212,-0.0108
"51","AMZN",2022-04-28,15.083,20.367,20.5997,17.1349,-0.3041,0.1324,-0.3559
"52","AMZN",2021-10-28,1.485,1.6825,18.7679,15.2351,-0.3261,0.2472,8e-04
"53","AMZN",2021-07-29,7.7875,6.9527,6.2182,19.696,-0.3922,0.2472,0.1262
"54","AMZN",2021-04-29,1.1635,7.1512,4.4675,4.3482,-0.4143,0.2472,-0.1859
"55","AMZN",2020-10-29,2.0388,0.488,3.5852,6.166,-0.0838,0.9361,0.4267
"56","AMZN",2020-07-30,7.3155,11.4657,7.6822,7.9335,0.5441,3.2322,0.7718
"57","AMZN",2020-04-30,2.0084,1.2785,21.2745,29.6298,0.4229,3.6914,0.1687
"58","AMZN",2019-10-24,0.419,1.9688,6.2456,34.4136,-0.216,0.2472,-0.0461
"59","AMZN",2019-07-25,5.6181,11.3587,10.5425,5.5274,-0.1389,0.362,-0.0281
"60","AMZN",2019-04-25,2.6766,4.1514,4.849,6.1291,-0.2821,0.1324,-0.3934
"61","META",2023-10-25,4.9531,14.0086,27.4597,65.1569,0.6873,0.9361,1.4867
"62","META",2023-07-26,2.1202,3.9589,5.1713,28.4288,0.6322,1.0509,1.4615
"63","META",2023-04-26,10.9133,20.6734,39.2598,47.3973,0.2467,1.3953,1.246
"64","META",2022-10-26,28.5446,13.5418,10.3605,63.9886,0.8966,1.0509,1.7922
"65","META",2022-07-27,12.5075,0.4718,23.5051,17.8146,0.3238,-0.3268,0.8468
"66","META",2022-04-27,5.7928,9.5342,4.7442,25.6873,0.0925,-0.5564,0.4324
"67","META",2021-10-25,3.5099,2.6043,7.7641,43.9867,0.7314,0.1324,1.0341
"68","META",2021-07-28,1.447,2.3843,11.9455,18.7821,0.5221,0.4768,0.681
"69","META",2021-04-28,5.6025,8.3523,21.283,5.7017,0.3568,0.362,0.5578
"70","META",2020-10-29,3.3295,1.0754,0.4344,7.9087,0.7754,2.6582,0.9729
"71","META",2020-07-31,14.9842,15.7646,5.519,11.1878,0.2467,0.2472,0.5463
"72","META",2020-04-30,12.6073,9.9555,12.4127,35.3671,0.0925,0.4768,0.3178
"73","META",2019-10-30,4.3889,7.3041,14.1408,0.9668,-0.2711,-2.3933,-0.1398
"74","META",2019-07-24,2.3588,11.0525,7.2804,8.541,-0.2931,-2.3933,-0.1109
"75","META",2019-04-24,8.1776,0.9366,10.8117,1.791,-0.2821,-2.5081,-0.4294
"76","MSFT",2023-10-24,1.581,14.5484,20.8602,25.0837,1.139,0.4768,0.039
"77","MSFT",2023-04-25,5.9611,14.2024,25.0895,19.1189,3.1438,5.9875,2.0091
"78","MSFT",2023-01-24,0.9819,4.1729,18.3589,42.6972,1.7228,3.4618,0.9765
"79","MSFT",2022-10-25,2.6708,0.9504,3.8949,14.6107,0.8195,0.362,0.1982
"80","MSFT",2022-04-26,0.2909,2.6232,3.4245,9.9996,1.6016,2.1989,0.7711
"81","MSFT",2022-01-25,2.7524,2.6484,4.8159,9.3535,1.2271,1.5101,0.3935
"82","MSFT",2021-10-26,6.8585,9.1639,4.3657,11.2898,0.8085,1.5101,0.0721
"83","MSFT",2021-04-27,2.4781,3.7788,10.8291,18.5125,2.1634,4.4951,0.8972
"84","MSFT",2021-01-26,10.7235,1.1881,12.6637,25.2562,1.4584,2.6582,0.364
"85","MSFT",2020-10-27,5.7396,0.5533,6.2328,23.0653,0.6543,1.1657,-0.152
"86","MSFT",2020-04-29,4.1724,2.5223,15.2104,22.5026,1.2051,2.773,0.4288
"87","MSFT",2020-01-29,8.7025,5.6105,3.8594,20.4547,0.6983,1.0509,-0.1109
"88","MSFT",2019-10-23,1.7235,9.2893,22.1718,30.9365,0.1475,-0.0972,-0.6139
"89","MSFT",2019-04-24,7.2514,1.3096,11.145,10.6935,0.9407,1.2805,0.2941
"90","MSFT",2019-01-30,0.478,5.7609,22.5082,33.9247,0.8195,0.9361,0.222
"91","NFLX",2023-10-20,13.4559,16.1986,19.795,54.0104,-0.899,-1.4749,-0.8863
"92","NFLX",2023-07-21,6.5036,5.3731,19.0199,12.5708,-1.0972,-1.1305,-1.0096
"93","NFLX",2023-04-21,3.774,11.397,45.6156,8.4578,-1.5048,-3.0822,-1.8195
"94","NFLX",2022-10-20,28.4332,7.3911,21.6513,24.0752,0.0484,0.0176,-0.3192
"95","NFLX",2022-07-21,29.7345,7.7184,7.5844,48.66,0.4009,0.4768,-0.1938
"96","NFLX",2022-04-21,44.7308,14.6045,7.6024,12.3178,-0.3482,-1.0157,-1.0182
"97","NFLX",2021-10-21,4.5945,3.9255,21.7956,48.273,0.8305,1.0509,0.227
"98","NFLX",2021-07-22,4.3558,6.8605,24.8608,2.72,0.6983,1.9693,0.2386
"99","NFLX",2021-04-22,7.7747,2.1404,4.3771,25.3921,0.0043,-0.4416,-0.6154
"100","NFLX",2020-10-22,10.2779,0.6203,3.4087,14.2633,0.7534,0.8212,0.0707
"101","NFLX",2020-07-20,8.5728,2.0979,5.6488,0.8817,0.8305,1.8545,0.1744
"102","NFLX",2020-04-21,1.8934,3.1902,13.6367,22.3498,-0.0067,-0.212,-0.6615
"103","NFLX",2019-10-18,4.0399,7.1667,23.1638,50.2179,0.6983,-1.0157,-0.1318
"104","NFLX",2019-07-19,12.5358,3.9035,9.1463,7.4865,0.7754,-0.6712,-0.1102
"105","NFLX",2019-04-18,1.7898,1.6373,1.5651,20.7631,-0.0507,-1.7045,-0.7667
"106","NVDA",2023-11-21,2.8476,3.6616,45.4016,68.2811,-0.6126,0.1324,-0.4907
"107","NVDA",2023-08-25,13.9865,9.5714,5.8716,50.9493,-1.3065,-1.2453,-1.0931
"108","NVDA",2023-05-26,27.207,8.3895,20.9903,28.2629,-1.4057,-0.3268,-1.537
"109","NVDA",2022-11-18,1.176,7.5686,47.7696,89.6647,-0.6786,2.6582,-0.4871
"110","NVDA",2022-08-31,21.8151,19.0166,4.8874,54.3585,-0.1719,5.1839,-0.0252
"111","NVDA",2022-05-27,17.3595,8.9383,8.4278,14.698,-0.7668,0.9361,-0.8611
"112","NVDA",2021-11-19,7.5156,15.7059,19.6172,44.877,-0.7888,0.0176,-0.606
"113","NVDA",2021-08-20,9.3125,5.2261,40.5946,27.3199,-1.1744,-2.1637,-1.0002
"114","NVDA",2021-05-26,15.632,22.3561,39.8919,110.1807,-1.2405,-2.0489,-1.2704
"115","NVDA",2020-11-18,3.4301,0.6223,11.445,6.1315,-0.921,-0.4416,-0.7235
"116","NVDA",2020-08-19,11.4486,2.7082,11.3753,23.3278,-1.3837,-2.2785,-1.0355
"117","NVDA",2020-05-21,6.1609,5.5865,39.7834,54.1319,-2.0556,-4.0006,-1.9103
"118","NVDA",2019-11-14,1.3632,6.8475,27.7886,53.9879,-1.2294,-3.8858,-1.1126
"119","NVDA",2019-08-15,8.1954,22.4172,41.0348,77.0683,-1.2405,-4.1154,-1.2769
"120","NVDA",2019-05-16,10.5706,9.6042,2.4732,30.2353,-1.9014,-4.8043,-1.8231
"121","ORCL",2023-12-12,8.321,3.4845,11.9488,18.554,0.6543,-0.0972,1.4334
"122","ORCL",2023-09-12,9.4935,0.3934,4.0286,3.3378,0.6322,-1.3601,1.1941
"123","ORCL",2023-03-10,4.9636,14.0954,25.7176,48.6096,1.4033,0.0176,2.0805
"124","ORCL",2022-12-13,2.0149,10.3925,4.7483,37.4425,1.4254,-0.212,1.9169
"125","ORCL",2022-09-13,6.4473,15.6919,5.5636,11.5453,0.5772,-2.1637,1.202
"126","ORCL",2022-03-11,5.3733,4.4161,7.9167,4.3301,1.4915,2.773,2.0336
"127","ORCL",2021-12-10,16.9764,14.4158,25.5747,28.6315,1.0398,3.2322,1.4716
"128","ORCL",2021-09-13,2.6262,7.8889,15.8589,11.8227,0.3899,-0.6712,0.9938
"129","ORCL",2021-03-11,0.9297,12.605,26.0586,34.5836,0.8746,2.4285,1.5969
"130","ORCL",2020-12-11,6.0874,4.9703,19.4456,40.7379,0.467,1.8545,1.1804
"131","ORCL",2020-09-14,8.0079,2.9547,2.3468,13.8412,0.3899,1.0509,1.184
"132","ORCL",2020-03-13,4.8554,11.4806,13.4301,16.4569,0.4339,0.0176,1.3346
"133","ORCL",2019-12-13,2.8999,0.3346,17.5949,0.3113,0.2357,-0.3268,1.1617
"134","ORCL",2019-09-13,0.3951,6.3139,5.2301,8.8114,0.0484,-0.4416,0.9044
"135","ORCL",2019-03-18,0.2089,2.571,0.1096,1.4016,0.3679,0.4768,1.491
"136","TSLA",2023-10-20,18.0631,10.5241,1.6793,25.888,-0.7337,-3.5414,-0.9108
"137","TSLA",2023-07-21,9.1229,17.1256,6.6687,15.4257,-0.5685,-3.0822,-0.8755
"138","TSLA",2023-04-21,13.4108,9.1228,76.4357,54.3797,-0.899,-4.0006,-1.2409
"139","TSLA",2022-10-24,4.1805,19.5692,36.8426,21.8556,1.5465,0.9361,1.0997
"140","TSLA",2022-07-25,23.5311,10.4384,20.1142,50.2968,1.5686,1.7397,1.0558
"141","TSLA",2022-04-22,12.6238,33.9436,26.1231,34.2749,0.9737,0.0176,0.2919
"142","TSLA",2021-10-25,28.0298,8.2128,7.8996,1.9329,1.6677,1.2805,1.5364
"143","TSLA",2021-07-27,7.4444,10.3012,41.0838,46.391,2.2295,2.1989,1.9976
"144","TSLA",2021-04-27,4.7414,12.1477,8.7068,29.0802,1.2932,0.7064,0.9505
"145","TSLA",2020-10-26,9.932,32.1452,101.4466,73.551,2.0753,4.4951,2.1886
"146","TSLA",2020-07-28,5.3151,45.8303,42.4426,186.707,2.0312,3.2322,2.59
"147","TSLA",2020-04-30,10.9052,6.7939,88.8385,168.7625,0.9627,1.7397,0.8785
"148","TSLA",2019-10-29,24.2155,4.7657,78.6162,129.3182,2.56,4.8395,2.9827
"149","TSLA",2019-07-29,8.3464,9.1996,39.1738,139.564,2.6151,4.1506,2.8566
"150","TSLA",2019-04-29,2.9381,21.8536,5.5618,35.8885,1.8109,1.7397,1.5429
